id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
60002,1.1e-05,udp,-,INT,2,0,168,0,90909.0902,254,0,61090908.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,2,1,1,1,0,0,0,2,4,0,Reconnaissance,1
40438,0.001024,udp,dns,CON,2,2,130,162,2929.687507,31,29,507812.5,632812.5,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,3,0,7,1,1,5,0,0,0,6,2,0,Normal,0
82201,9e-06,ipv6-no,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,4,3,3,13,0,0,0,4,9,0,Exploits,1
61891,0.598748,tcp,-,FIN,22,10,17778,854,51.774701,254,252,226739.7813,10274.77246,8,2,27.418762,58.575223,2179.227231,90.640672,255,1095981434,2686723050,255,0.111279,0.071566,0.039713,808,85,0,0,5,1,2,2,1,2,0,0,0,2,5,0,Fuzzers,1
457,0.67514,tcp,-,FIN,10,8,564,354,25.179962,254,252,6019.492188,3673.312012,2,1,75.015556,94.46,5856.686828,148.252813,255,3685276595,218706777,255,0.055437,0.00705,0.048387,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
125322,0.4314,tcp,http,FIN,18,58,1984,67738,173.852573,62,252,34751.96875,1234510.875,3,27,25.376471,7.362842,1324.6068,824.370889,255,2571095118,969902901,255,0.058069,0.006911,0.051158,110,1168,1,31958,1,1,1,1,1,1,0,0,1,1,2,0,Generic,1
124428,0.682809,tcp,-,FIN,12,10,2630,588,30.755307,254,252,28248.01758,6209.643066,3,3,62.073545,70.15,3952.895415,109.738867,255,1818114538,3741515482,255,0.097432,0.05053,0.046902,219,59,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
1601,1.962275,tcp,-,FIN,38,40,2438,18508,39.240167,31,29,9678.561523,73571.74219,7,13,54.498639,50.302154,3909.289222,3755.00556,255,1744517239,2178534920,255,0.000607,0.000487,0.00012,64,463,0,0,19,0,4,1,1,6,0,0,0,3,11,0,Normal,0
41974,0.903559,tcp,-,FIN,10,6,2516,268,16.601018,254,252,20054.0293,1983.268311,2,1,94.393111,128.686797,5049.191278,189.435625,255,413018580,878027187,255,0.37409,0.260121,0.113969,252,45,0,0,4,1,1,1,1,3,0,0,0,1,3,0,Normal,0
29884,0.306118,tcp,-,FIN,22,24,2054,2478,147.002131,31,29,51248.21094,62067.56641,6,6,14.559286,13.282087,852.619492,814.836442,255,3765215718,1615958495,255,0.000768,0.000622,0.000146,93,103,0,0,10,0,4,1,1,4,0,0,0,7,5,0,Normal,0
32014,0.031738,tcp,-,FIN,122,126,7808,15182,7782.46851,31,29,1951981.75,3796584.25,30,32,0.259421,0.249936,16.244148,14.3632,255,215710408,216727223,255,0.000628,0.000492,0.000136,64,120,0,0,1,0,2,1,1,1,0,0,0,2,8,0,Normal,0
62211,0.599064,tcp,http,FIN,10,6,824,268,25.039061,254,252,9908.791016,2991.333252,2,1,63.401778,105.218602,3546.340231,161.469266,255,619095252,769198774,255,0.134886,0.072965,0.061921,82,45,1,0,2,1,1,1,1,1,0,0,1,1,1,0,Reconnaissance,1
37015,0.001061,udp,dns,CON,2,2,146,178,2827.521083,31,29,550424.125,671065.0,0,0,0.011,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,2,1,1,1,0,0,0,4,3,0,Normal,0
81342,8e-06,udp,-,INT,2,0,2248,0,125000.0003,254,0,1124000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1124,0,0,0,3,2,1,1,1,3,0,0,0,25,3,0,Normal,0
61453,0.429719,tcp,-,FIN,8,8,364,910,34.906532,62,252,5938.764648,14837.60352,1,2,61.388426,58.691,4266.867688,116.982578,255,2618469771,1845482953,255,0.062615,0.013587,0.049028,46,114,0,0,5,1,2,1,1,2,0,0,0,3,2,0,Exploits,1
115555,1.736728,tcp,smtp,FIN,62,28,59052,1966,51.245792,62,252,267629.7188,8733.665039,28,8,28.47095,62.591777,2567.95111,86.780477,255,2003398640,3231292039,255,0.132376,0.046064,0.086312,952,70,0,0,1,1,3,1,1,1,0,0,0,1,1,0,Exploits,1
146210,0.550768,tcp,-,FIN,12,8,1058,722,34.497283,254,252,14089.41699,9179.908203,3,2,50.069817,65.913141,2508.300902,107.649516,255,2209663339,4010263140,255,0.129598,0.06815,0.061448,88,90,0,0,3,1,35,2,1,3,0,0,0,3,3,0,Fuzzers,1
61159,18.670206,ospf,-,INT,20,0,900,0,1.017664,254,0,366.3591,0.0,0,0,982.642313,0.0,1060.71875,0.0,0,0,0,0,0.0,0.0,0.0,45,0,0,0,6,2,3,2,2,3,0,0,0,3,3,0,Exploits,1
35848,0.034011,tcp,-,FIN,78,80,4550,71834,4616.153746,31,29,1056599.375,16685661.0,7,33,0.437468,0.422671,22.75814,22.337553,255,3260867305,1115798867,255,0.000759,0.000608,0.000151,58,898,0,0,5,0,2,1,1,1,0,0,0,4,2,0,Normal,0
49511,5e-06,ggp,-,INT,2,0,180,0,90909.0902,254,0,65454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,5,2,4,5,4,4,0,0,0,5,5,0,Exploits,1
4501,0.001094,udp,dns,CON,2,2,132,164,2742.230477,31,29,482632.5625,599634.375,0,0,0.01,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,2,0,2,2,1,1,0,0,0,10,3,0,Normal,0
35664,0.005151,udp,-,CON,4,4,568,312,1358.959459,31,29,661619.125,363424.5938,0,0,1.128667,1.245333,1.586984,1.753391,0,0,0,0,0.0,0.0,0.0,142,78,0,0,7,0,4,1,1,3,0,0,0,4,5,0,Normal,0
163358,1e-05,udp,-,INT,2,0,2664,0,100000.0025,254,0,1065600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1332,0,0,0,6,2,2,2,1,4,0,0,0,3,4,0,Fuzzers,1
34452,0.001023,udp,dns,CON,2,2,130,162,2932.551349,31,29,508308.9063,633431.0625,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,5,0,5,2,1,2,0,0,0,5,4,0,Normal,0
120699,1.5497,tcp,-,FIN,60,14,68181,612,47.105891,254,252,346105.6875,2937.342773,27,1,25.102983,116.524,2446.416353,156.111047,255,3919936297,3246802997,255,0.319364,0.151404,0.16796,1136,44,1,0,9,1,1,1,1,2,0,0,1,2,2,0,Fuzzers,1
10247,0.830417,tcp,-,FIN,10,8,564,354,20.471643,254,252,4893.926758,2986.451416,2,1,90.271,108.836,6167.812627,157.881875,255,1702990719,1100311545,255,0.133319,0.068556,0.064763,56,44,0,0,1,1,3,1,1,1,0,0,0,1,9,0,Reconnaissance,1
10602,0.014753,tcp,-,FIN,40,42,2558,23162,5490.408775,31,29,1352945.125,12261100.0,7,14,0.370513,0.347098,23.471607,22.415603,255,2817466231,687433355,255,0.00064,0.000519,0.000121,64,551,0,0,10,0,4,1,1,2,0,0,0,9,5,0,Normal,0
1919,6e-06,udp,-,INT,2,0,428,0,166666.6608,254,0,285333312.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,214,0,0,0,37,2,11,10,1,37,0,0,0,10,37,0,Fuzzers,1
105312,3e-06,sat-mon,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,2,5,0,Reconnaissance,1
8147,2.261849,tcp,pop3,FIN,24,46,1134,38470,30.506016,62,252,3844.642334,133108.7969,7,21,98.341259,48.222378,5506.349955,3766.863833,255,2967260879,3519840493,255,0.130657,0.056189,0.074468,47,836,0,0,1,1,2,1,1,2,0,0,0,1,1,0,Exploits,1
106381,58.79575,ospf,-,REQ,26,0,2808,0,0.425201,254,0,367.373505,0.0,0,0,2462.9945,0.0,2571.657,0.0,0,0,0,0,0.0,0.0,0.0,108,0,0,0,1,6,1,1,1,2,0,0,0,1,1,0,Exploits,1
12913,1.170843,tcp,http,FIN,12,18,1580,10168,24.768479,31,29,9900.558594,65621.09375,3,5,106.410001,68.840943,9664.181264,7779.870029,255,3886518066,1737932950,255,0.00069,0.000543,0.000147,132,565,1,3924,2,0,4,1,1,2,0,0,1,4,4,0,Normal,0
35215,0.015498,tcp,-,FIN,40,42,2542,23508,5226.48077,31,29,1279649.0,11846174.0,7,14,0.399342,0.364829,0.0,20.379383,255,2936906992,2960219477,255,0.000679,0.000537,0.000142,64,560,0,0,1,0,1,1,1,5,0,0,0,1,3,0,Normal,0
88573,0.774102,tcp,http,FIN,10,8,794,1068,21.960931,62,252,7389.20752,9662.80957,2,2,85.913444,99.681289,4556.965429,169.915391,255,804733559,2304538551,255,0.119552,0.076327,0.043225,79,134,1,132,4,1,1,1,1,2,0,0,1,5,2,0,Normal,0
18176,1e-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,36,2,2,2,2,36,0,0,0,2,36,0,Generic,1
42972,1.1148,tcp,-,FIN,10,8,610,354,15.249372,254,252,3939.720215,2224.614258,2,1,120.313778,145.181578,6466.122645,261.987969,255,3233759356,1974857879,255,0.278302,0.098521,0.179781,61,44,0,0,4,1,1,1,1,2,0,0,0,1,2,0,Normal,0
106649,3e-06,udp,-,INT,2,0,104,0,333333.3215,254,0,138666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,9,2,2,2,1,5,0,0,0,2,5,0,Fuzzers,1
26175,0.022567,tcp,-,FIN,46,46,2870,24004,4032.436701,31,29,995435.8125,8324722.0,7,16,0.494267,0.501932,0.0,0.821927,255,1929894638,1937985904,255,0.00061,0.000478,0.000132,62,522,0,0,4,0,1,1,1,1,0,0,0,3,8,0,Normal,0
38480,0.001053,udp,dns,CON,2,2,146,178,2849.002888,31,29,554605.875,676163.375,0,0,0.01,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,2,2,1,2,0,0,0,2,5,0,Normal,0
46689,0.432131,tcp,-,CON,6,2,978,86,16.198792,62,252,15088.01758,796.054932,2,1,86.4262,0.002,4764.565006,0.0,255,1257119431,3301090167,255,0.31651,0.279614,0.036896,163,43,0,0,8,3,1,1,1,3,0,0,0,1,3,0,Normal,0
18966,0.046407,tcp,ftp-data,FIN,6,8,320,1888,280.130157,31,29,46027.53906,284784.625,1,2,9.2164,6.547571,641.681082,15.734094,255,3838147425,1707131551,255,0.000696,0.00057,0.000126,53,236,0,0,6,0,5,1,1,5,0,0,0,4,5,0,Normal,0
139833,3e-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,3,3,3,6,0,0,0,7,6,0,Reconnaissance,1
80188,0.520044,tcp,http,FIN,10,8,836,1062,32.68954,62,252,11583.63477,14306.48145,2,2,57.679222,57.75543,2895.194354,73.559586,255,1457109840,301918082,255,0.176649,0.11575,0.060899,84,133,1,126,4,1,2,3,2,4,0,0,4,4,3,0,Normal,0
125064,8e-06,gmtp,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,3,5,0,DoS,1
57207,9e-06,ipip,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,6,0,0,0,2,6,0,DoS,1
11220,0.414223,tcp,-,FIN,10,6,1966,268,36.21238,254,252,34184.48828,4326.172363,2,1,41.507444,77.836797,2113.199174,110.971594,255,1942892963,3841825438,255,0.053834,0.025031,0.028803,197,45,0,0,1,1,1,1,1,1,0,0,0,9,1,0,Exploits,1
30897,0.001041,udp,dns,CON,2,2,146,178,2881.844351,31,29,560999.0625,683957.75,0,0,0.002,0.002,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,1,1,1,1,0,0,0,4,1,0,Normal,0
78067,6e-06,udp,-,INT,2,0,78,0,166666.6608,254,0,52000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,6,2,1,1,1,3,0,0,0,1,3,0,Normal,0
131336,0.798836,tcp,-,FIN,10,8,564,354,21.280964,254,252,5087.402344,3104.51709,2,1,86.602444,106.77943,6326.00088,153.894906,255,4151450422,74687877,255,0.125944,0.051379,0.074565,56,44,0,0,2,1,1,1,1,2,0,0,0,1,1,0,Reconnaissance,1
19393,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,45,2,24,24,11,45,0,0,0,24,45,0,Generic,1
170822,0.173165,tcp,http,FIN,10,6,980,268,86.622589,254,252,40747.26563,10348.51172,2,1,17.354889,32.328,1237.30451,52.639113,255,2019075245,2599543522,255,0.018617,0.011516,0.007101,98,45,1,0,1,1,1,1,1,1,0,0,1,2,1,0,Exploits,1
52628,1.2e-05,udp,dns,INT,2,0,114,0,83333.33039,254,0,38000000.0,0.0,0,0,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,18,2,7,7,4,7,0,0,0,8,18,0,Generic,1
55867,8e-06,fc,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,1,1,1,5,0,0,0,1,5,0,Exploits,1
66463,7e-06,unas,-,INT,2,0,200,0,142857.1409,254,0,114285712.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,3,3,3,5,0,0,0,17,5,0,DoS,1
22721,17.448652,tcp,http,FIN,308,746,16498,1087900,60.3485,31,29,7539.837402,498120.75,2,370,56.834985,23.420296,3106.699514,1969.592248,255,3604488467,3609741233,255,0.000666,0.000529,0.000137,54,1458,1,524288,3,0,2,1,1,1,0,0,1,1,1,0,Normal,0
152898,0.305672,tcp,http,FIN,10,6,1024,268,49.07221,254,252,24130.44141,5862.493164,2,1,33.177889,50.433199,2117.267316,92.744469,255,3274164357,1595863676,255,0.099464,0.0535,0.045964,102,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits,1
